phi	dirname	N_mean	Nt_mean	N_var	n_frames	phi_star
0.0	phi_00p0	917.019990	918.279118	117.912644	2001	0
1.0	phi_01p0	873.628186	875.831186	117.661854	2001	0
2.0	phi_02p0	828.233383	831.396332	119.244383	2001	0
3.0	phi_03p0	780.308846	784.146939	136.028552	2001	0
4.0	phi_04p0	716.283858	720.876724	203.819475	2001	0
5.0	phi_05p0	596.717641	601.755037	485.265101	2001	1
6.0	phi_06p0	329.844078	333.795068	336.663344	2001	0
7.0	phi_07p0	231.795102	235.082716	146.796598	2001	0
8.0	phi_08p0	181.422789	184.232914	71.361480	2001	0
9.0	phi_09p0	151.965517	154.488216	51.247687	2001	0
10.0	phi_10p0	136.990505	139.371951	36.022399	2001	0
11.0	phi_11p0	121.493253	123.564699	27.783188	2001	0
12.0	phi_12p0	111.017491	113.036566	21.216586	2001	0
