phi	dirname	N_mean	Nt_mean	N_var	n_frames	phi_star
0.0	phi_00p0	936.412794	937.699282	115.653689	2001	0
1.0	phi_01p0	894.099450	896.445977	125.021094	2001	0
2.0	phi_02p0	848.448776	851.626894	131.077961	2001	0
3.0	phi_03p0	800.819090	804.869751	142.033239	2001	0
4.0	phi_04p0	738.016992	742.768102	193.479971	2001	0
5.0	phi_05p0	623.385807	628.513784	351.982087	2001	0
6.0	phi_06p0	340.246377	344.274391	557.901817	2001	1
7.0	phi_07p0	244.943028	248.295197	202.718393	2001	0
8.0	phi_08p0	193.009495	195.901159	77.384717	2001	0
9.0	phi_09p0	149.000000	151.155361	51.480260	2001	0
10.0	phi_10p0	135.251374	137.340770	51.724417	2001	0
11.0	phi_11p0	127.562219	129.702203	28.189157	2001	0
12.0	phi_12p0	111.469765	113.377710	19.838291	2001	0
