phi	dirname	N_mean	Nt_mean	N_var	n_frames	phi_star
0.0	phi_00p0	848.145427	849.123501	109.467607	2001	0
1.0	phi_01p0	811.568216	813.520836	108.171384	2001	0
2.0	phi_02p0	767.521739	770.205044	117.367968	2001	0
3.0	phi_03p0	724.283358	727.581292	123.178579	2001	0
4.0	phi_04p0	674.696152	678.642980	164.008626	2001	0
5.0	phi_05p0	573.772614	578.205093	353.572983	2001	1
6.0	phi_06p0	389.237881	393.401078	287.237765	2001	0
7.0	phi_07p0	252.124438	255.148771	157.582216	2001	0
8.0	phi_08p0	208.410295	211.049716	87.381383	2001	0
9.0	phi_09p0	156.574213	158.696817	500.333448	2001	0
10.0	phi_10p0	103.496252	105.138881	529.952135	2001	0
11.0	phi_11p0	87.851074	89.299972	38.460580	2001	0
12.0	phi_12p0	81.279860	82.753236	414.858210	2001	0
