phi	dirname	N_mean	Nt_mean	N_var	n_frames	phi_star
0.0	phi_00p0	954.511244	955.798919	117.805096	2001	0
1.0	phi_01p0	909.333833	911.593900	126.917041	2001	0
2.0	phi_02p0	862.150425	865.436310	124.299711	2001	0
3.0	phi_03p0	816.280360	820.264341	150.341688	2001	0
4.0	phi_04p0	749.001499	753.666202	210.816090	2001	0
5.0	phi_05p0	623.387306	628.476108	514.017410	2001	1
6.0	phi_06p0	303.515242	306.861807	273.609088	2001	0
7.0	phi_07p0	216.111944	218.781897	134.008458	2001	0
8.0	phi_08p0	184.029485	186.417358	61.930665	2001	0
9.0	phi_09p0	154.902549	157.004491	71.967015	2001	0
10.0	phi_10p0	137.559220	139.558080	50.319456	2001	0
11.0	phi_11p0	135.020490	136.862384	26.631764	2001	0
12.0	phi_12p0	100.352824	101.959089	234.616145	2001	0
