phi	dirname	N_mean	Nt_mean	N_var	n_frames	phi_star
0.0	phi_00p0	562.301349	563.240768	69.193047	2001	0
1.0	phi_01p0	534.668166	536.157871	77.911875	2001	0
2.0	phi_02p0	503.754623	505.823007	82.498011	2001	0
3.0	phi_03p0	472.550725	475.250705	91.559771	2001	0
4.0	phi_04p0	423.271364	426.348791	193.564043	2001	0
5.0	phi_05p0	264.715642	267.511730	294.448376	2001	1
6.0	phi_06p0	171.469265	173.911416	143.070645	2001	0
7.0	phi_07p0	122.880560	125.052475	87.559447	2001	0
8.0	phi_08p0	107.942529	109.877102	42.740825	2001	0
9.0	phi_09p0	93.795102	95.588909	31.838077	2001	0
10.0	phi_10p0	80.706147	82.407586	17.972621	2001	0
11.0	phi_11p0	70.242879	71.811002	19.936013	2001	0
12.0	phi_12p0	68.376312	69.878622	11.092272	2001	0
