phi	dirname	N_mean	Nt_mean	N_var	n_frames	phi_star
0.0	phi_00p0	1101.562719	1102.942098	144.280049	2001	0
1.0	phi_01p0	1052.632184	1055.174660	138.184551	2001	0
2.0	phi_02p0	999.130435	1002.702185	146.410273	2001	0
3.0	phi_03p0	938.085957	942.456021	188.308453	2001	0
4.0	phi_04p0	846.563718	851.729131	379.047539	2001	0
5.0	phi_05p0	588.591204	593.585647	1393.452077	2001	1
6.0	phi_06p0	199.810095	201.894699	102.698569	2001	0
7.0	phi_07p0	147.546227	149.420489	53.043465	2001	0
8.0	phi_08p0	126.505747	128.140780	35.366409	2001	0
9.0	phi_09p0	119.905547	121.472916	33.128010	2001	0
10.0	phi_10p0	107.706647	109.192003	18.134334	2001	0
11.0	phi_11p0	98.190405	99.568539	25.431512	2001	0
12.0	phi_12p0	94.238881	95.560075	16.208803	2001	0
