phi	dirname	N_mean	Nt_mean	N_var	n_frames	phi_star
0.0	phi_00p0	2764.512244	2768.034847	338.134908	2001	0
1.0	phi_01p0	2636.974013	2643.549895	341.294677	2001	0
2.0	phi_02p0	2504.844578	2514.208956	379.684490	2001	0
3.0	phi_03p0	2309.849575	2321.485260	693.491116	2001	0
4.0	phi_04p0	1927.986007	1941.213737	1024.030789	2001	0
5.0	phi_05p0	1216.128436	1228.077801	1406.106943	2001	1
6.0	phi_06p0	708.397801	717.771137	639.471939	2001	0
7.0	phi_07p0	514.592704	522.602505	297.242905	2001	0
8.0	phi_08p0	399.814593	406.680693	273.370422	2001	0
9.0	phi_09p0	329.283358	335.475717	136.970683	2001	0
10.0	phi_10p0	289.897551	295.286157	109.807095	2001	0
11.0	phi_11p0	261.535232	266.538961	71.955905	2001	0
12.0	phi_12p0	236.787106	241.320781	80.498404	2001	0
